"ps","g1"
-6.73262011827837,NA
-6.66530971709558,-1.07628319468676
-6.5979993159128,-1.07019152653281
-6.53068891473002,-1.06400465391866
-6.46337851354723,-1.05772555849365
-6.39606811236445,-1.05135724886594
-6.32875771118166,-1.04490271099157
-6.26144730999888,-1.038364952823
-6.1941369088161,-1.03174693147959
-6.12682650763331,-1.02505156962908
-6.05951610645053,-1.01828176540076
-5.99220570526775,-1.01144033848125
-5.92489530408496,-1.00453005321035
-5.85758490290218,-0.997553604949105
-5.7902745017194,-0.990513616057207
-5.72296410053661,-0.983412624987807
-5.65565369935383,-0.976253108291304
-5.58834329817104,-0.969037441883297
-5.52103289698826,-0.961767924774872
-5.45372249580548,-0.954446772390619
-5.38641209462269,-0.94707611650038
-5.31910169343991,-0.939658006653088
-5.25179129225713,-0.932194410494647
-5.18448089107434,-0.924687215489449
-5.11717048989156,-0.917138227220859
-5.04986008870877,-0.909549185452693
-4.98254968752599,-0.901921744692894
-4.91523928634321,-0.894257491185615
-4.84792888516042,-0.886557941551729
-4.78061848397764,-0.878824544476086
-4.71330808279486,-0.871058687615541
-4.64599768161207,-0.86326168949796
-4.57868728042929,-0.855434815104855
-4.51137687924651,-0.847579271065642
-4.44406647806372,-0.839696207016713
-4.37675607688094,-0.831745668646181
-4.30944567569815,-0.823439768547205
-4.24213527451537,-0.814738551691128
-4.17482487333259,-0.805653999524774
-4.1075144721498,-0.796193211261789
-4.04020407096702,-0.786360476172887
-3.97289366978424,-0.776158352221145
-3.90558326860145,-0.765588289378026
-3.83827286741867,-0.754651017492094
-3.77096246623588,-0.74334680127317
-3.7036520650531,-0.731675615077861
-3.63634166387032,-0.719637266635974
-3.56903126268753,-0.707231486810595
-3.50172086150475,-0.694457995914163
-3.43441046032197,-0.681316553326797
-3.36710005913918,-0.66780699489609
-3.2997896579564,-0.653929261184837
-3.23247925677362,-0.639683418724007
-3.16516885559083,-0.625069675826362
-3.09785845440805,-0.610088394107325
-3.03054805322526,-0.594740096575711
-2.96323765204248,-0.579025472955332
-2.8959272508597,-0.562945382752636
-2.82861684967691,-0.546500856478044
-2.76130644849413,-0.529693095347956
-2.69399604731135,-0.512523469733084
-2.62668564612856,-0.49499351657112
-2.55937524494578,-0.477104935924568
-2.492064843763,-0.458859586834849
-2.42475444258021,-0.440259482600021
-2.35744404139743,-0.421306785584001
-2.29013364021464,-0.402003801649274
-2.22282323903186,-0.382352974291938
-2.15551283784908,-0.362356878546774
-2.08820243666629,-0.34201821472093
-2.02089203548351,-0.321339802006812
-1.95358163430073,-0.300324572018175
-1.88627123311794,-0.278975562287648
-1.81896083193516,-0.257295909759
-1.75165043075237,-0.235288844303197
-1.68434002956959,-0.212957682283583
-1.61702962838681,-0.190305820192281
-1.54971922720402,-0.167336728377085
-1.48240882602124,-0.144053944875561
-1.41509842483846,-0.120461069370921
-1.34778802365567,-0.0965617572821985
-1.28047762247289,-0.0723597139995107
-1.21316722129011,-0.047858689273615
-1.14585682010732,-0.023062471767507
-1.07854641892454,0.0020251162234655
-1.01123601774175,0.0274002238776746
-0.943925616558971,0.0530589767752716
-0.876615215376187,0.0789974816449753
-0.809304814193403,0.105211830927293
-0.74199441301062,0.131698107152577
-0.674684011827837,0.158452387133252
-0.607373610645053,0.185470745970041
-0.540063209462269,0.212749260872813
-0.472752808279485,0.240284014797153
-0.405442407096702,0.268071099898325
-0.338132005913918,0.296106620804759
-0.270821604731134,0.324386697713635
-0.20351120354835,0.352907469311542
-0.136200802365567,0.38166509552349
-0.0688904011827836,0.410655760093954
-0.00158,0.439875673003783
