"R","I"
-10,-3.59112247850248
-9.5,-3.66406330011597
-9,-3.81696110592125
-8.5,-4.0781675816957
-8,-4.40372444295199
-7.5,-4.7134632293346
-7,-4.98132402507473
-6.5,-5.23849925367259
-6,-5.64155242229192
-5.5,-6.31004158322937
-5,-6.3503846454917
-4.5,-6.28870431604548
-4,-6.17180860246667
-3.5,-6.02196901735247
-3,-5.84780486115458
-2.5,-5.65284409348662
-2,-5.42941441618185
-1.5,-5.15750303640977
-1,-4.79230691799719
