"w","ps","gs","px"
0.157214523895994,-5.22419302462364,12.1994427231781,-6.68988027934252
0.165727508503105,-4.14675839946799,21.2735822391986,-6.37873058379041
0.174240493110217,-3.32984536877321,30.6417771041429,-5.573382934237
0.182753477717328,-2.70200121108609,40.0542937720423,-5.09352093234808
0.191266462324439,-2.21349748340717,48.6646482863142,-4.76376130526104
0.19977944693155,-1.82912992307175,56.1973180672247,-4.5251645735825
0.208292431538661,-1.52358680058121,62.6385545110924,-4.3469914726312
0.216805416145773,-1.27840932277281,68.0840498451721,-4.21080739668284
0.225318400752884,-1.07996011345657,72.664536790349,-4.10476661302984
0.233831385359995,-0.918042551145317,76.5121021965131,-4.02091228131773
0.242344369967106,-0.784947900748818,79.7465738515068,-3.95372381529868
0.250857354574217,-0.674788287995651,82.4713281198455,-3.89927237337359
0.259370339181328,-0.583023592673546,84.7732605639579,-3.85469908266431
0.267883323788439,-0.506121764662519,86.7244191167043,-3.81788642544847
0.276396308395551,-0.441312149146551,88.3841263677081,-3.78724049373828
0.284909293002662,-0.386404444505855,89.8010824590985,-3.76154455271193
0.293422277609773,-0.339654505327155,91.0152465640752,-3.73985813721856
0.301935262216884,-0.29966393969519,92.0594395396629,-3.72144620163627
0.310448246823995,-0.265304331182555,92.9606735211044,-3.70572851595694
0.318961231431107,-0.235659573714206,93.7412381534496,-3.69224252083785
0.327474216038218,-0.209981648165722,94.4195833004905,-3.68061712389186
0.335987200645329,-0.187656458023818,95.0110293966531,-3.67055165122444
0.34450018525244,-0.168177252478432,95.5283421868805,-3.66180111847733
0.353013169859551,-0.151123815638643,95.9821954932517,-3.65416455654917
0.361526154466662,-0.136146068974365,96.3815450517627,-3.64747611853708
0.370039139073774,-0.122951074356305,96.7339309944353,-3.6415981812936
0.378552123680885,-0.111292674259629,97.0457231887831,-3.63641594156517
0.387065108287996,-0.100963189598562,97.3223208324098,-3.63183317533957
0.395578092895107,-0.0917867323731814,97.5683152714807,-3.62776885702096
0.404091077502218,-0.0836137926547667,97.7876232449794,-3.624154449898
0.412604062109329,-0.0763168365634405,97.9835963802164,-3.62093177901719
0.421117046716441,-0.0697867103852159,98.1591112401316,-3.61805122526252
0.429630031323552,-0.063929690606967,98.3166439764632,-3.61547038985932
0.438143015930663,-0.0586650539006559,98.4583319249519,-3.61315283298275
0.446656000537774,-0.0539230675224161,98.5860252461918,-3.61106726871091
0.455168985144885,-0.0496433211015432,98.7013291300877,-3.60918640381015
0.463681969751996,-0.045773336788646,98.8056406325726,-3.60748682744189
0.472194954359108,-0.0422674072666545,98.9001780170311,-3.60594803132777
0.480707938966219,-0.0390856209979506,98.9860068593809,-3.60455237788349
0.48922092357333,-0.0361930418875251,99.0640606097693,-3.60328424482758
0.497733908180441,-0.0335590167440197,99.135159242814,-3.60212999995091
0.506246892787552,-0.0311565888684314,99.2000245976026,-3.60107770346399
0.514759877394663,-0.0289620000637602,99.2592936549655,-3.60011697824015
0.523272862001775,-0.0269542665462808,99.3135282447856,-3.5992379942034
0.531785846608886,-0.025114816812101,99.3632289262381,-3.59843370886697
0.540298831215997,-0.0234271815972553,99.4088349700232,-3.59769514341824
0.548811815823108,-0.02187672776446,99.4507420076017,-3.59701716520647
0.557324800430219,-0.0204504293323766,99.4892996165073,-3.59639365290538
0.56583778503733,-0.0191366699950283,99.5248202553945,-3.59581946003954
0.574350769644442,-0.0179250724083762,99.5575832954444,-3.59529005229763
