"px","PLC"
-10,99.8037069240848
-9.9,99.7689066180228
-9.8,99.7286652051257
-9.7,99.6822639691969
-9.6,99.6289110625398
-9.5,99.567737348619
-9.4,99.4977924838009
-9.3,99.4180413214194
-9.2,99.3273607271215
-9.1,99.2245368992754
-9,99.1082632919371
-8.9,98.9771392403034
-8.8,98.8296693894997
-8.7,98.6642640268128
-8.6,98.479240414893
-8.5,98.2728252188986
-8.4,98.0431581139269
-8.3,97.7882966502965
-8.2,97.5062224432976
-8.1,97.1948487409181
-8,96.8520294078592
-7.9,96.4755693469835
-7.8,96.0632363603695
-7.7,95.6127744315958
-7.6,95.1219183890194
-7.5,94.5884098869636
-7.4,94.0100146182572
-7.3,93.3845406478628
-7.2,92.7098577338295
-7.1,91.9839174789482
-7,91.2047741347487
-6.9,90.3706058593072
-6.8,89.4797362121895
-6.7,88.5306556541852
-6.6,87.5220428066723
-6.5,86.4527852158791
-6.4,85.3219993612752
-6.3,84.1290496450884
-6.2,82.8735661016907
-6.1,81.5554605714435
-6,80.1749410935629
-5.9,79.0622476644117
-5.8,79.0622476644117
-5.7,79.0622476644117
-5.6,79.0622476644117
-5.5,79.0622476644117
-5.4,79.0622476644117
-5.3,79.0622476644117
-5.2,79.0622476644117
-5.1,79.0622476644117
-5,79.0622476644117
-4.9,79.0622476644117
-4.8,79.0622476644117
-4.7,79.0622476644117
-4.6,79.0622476644117
-4.5,79.0622476644117
-4.4,79.0622476644117
-4.3,79.0622476644117
-4.2,79.0622476644117
-4.1,79.0622476644117
-4,79.0622476644117
-3.9,79.0622476644117
-3.8,79.0622476644117
-3.7,79.0622476644117
-3.6,79.0622476644117
-3.5,79.0622476644117
-3.4,79.0622476644117
-3.3,79.0622476644117
-3.2,79.0622476644117
-3.1,79.0622476644117
-3,79.0622476644117
-2.9,79.0622476644117
-2.8,79.0622476644117
-2.7,79.0622476644117
-2.6,79.0622476644117
-2.5,79.0622476644117
-2.4,79.0622476644117
-2.3,79.0622476644117
-2.2,79.0622476644117
-2.1,79.0622476644117
-2,79.0622476644117
-1.9,79.0622476644117
-1.8,79.0622476644117
-1.7,79.0622476644117
-1.6,79.0622476644117
-1.5,79.0622476644117
-1.4,79.0622476644117
-1.3,79.0622476644117
-1.2,79.0622476644117
-1.1,79.0622476644117
-1,79.0622476644117
-0.9,79.0622476644117
-0.799999999999999,79.0622476644117
-0.699999999999999,79.0622476644117
-0.6,79.0622476644117
-0.5,79.0622476644117
-0.399999999999999,79.0622476644117
-0.299999999999999,79.0622476644117
-0.199999999999999,79.0622476644117
-0.0999999999999996,79.0622476644117
0,79.0622476644117
