"LAI","h3","d","wL","P50","P12","pxmin","pxgs50","slope"
1,1,1,0.219739132809077,-0.870375412543876,-0.458783370754619,-1.40310097184766,-0.844413985878791,0.627112459572504
3,1,1,0.211897095179974,-0.870375412543876,-0.458783370754619,-1.58506332567031,-0.862394560692552,0.642995012818272
1,25,1,0.279772195728054,-0.870375412543876,-0.458783370754619,-0.568699804657442,-0.505727825723679,0.547766786598483
3,25,1,0.249999539489033,-0.870375412543876,-0.458783370754619,-0.895326966983634,-0.693074007087245,0.625796757003657
1,100,1,0.329133891119434,-0.870375412543876,-0.458783370754619,-0.294153125439935,-0.279475552073213,0.417680710777557
3,100,1,0.288983018531621,-0.870375412543876,-0.458783370754619,-0.498425745830289,-0.453049944966124,0.521713794584962
1,200,1,0.358795114794161,-0.870375412543876,-0.458783370754619,-0.20697654030094,-0.199155726323633,0.348643775429237
3,200,1,0.313376021813255,-0.870375412543876,-0.458783370754619,-0.358849978890314,-0.337127833230143,0.456910046037646
1,1,2,0.183200773429262,-1.74075082508775,-0.917566741509237,-3.0357171672817,-1.68270825615175,0.666249226107455
3,1,2,0.177703729541646,-1.74075082508775,-0.917566741509237,-3.37051995507244,-1.72159514900018,0.665420794839218
1,25,2,0.2271399619286,-1.74075082508775,-0.917566741509237,-1.33140644510822,-1.07420385307156,0.676111775587193
3,25,2,0.204215508764543,-1.74075082508775,-0.917566741509237,-2.07957638238522,-1.40405572032361,0.738582558217282
1,100,2,0.264552884698791,-1.74075082508775,-0.917566741509237,-0.71014069627088,-0.645435028774928,0.569735765310897
3,100,2,0.234235593946355,-1.74075082508775,-0.917566741509237,-1.16973853724345,-0.978383818112594,0.653148127464918
1,200,2,0.286610648959361,-1.74075082508775,-0.917566741509237,-0.514280213846587,-0.479679580232144,0.51521791506102
3,200,2,0.2527475254535,-1.74075082508775,-0.917566741509237,-0.854729561603826,-0.759375541357197,0.600257671226396
1,1,3,0.165023824721059,-2.61112623763163,-1.37635011226386,-4.74150260568978,-2.50772711337379,0.691096436942396
3,1,3,0.160515176521681,-2.61112623763163,-1.37635011226386,-5.22151735901501,-2.57510136482673,0.67913532197366
1,25,3,0.202205462874729,-2.61112623763163,-1.37635011226386,-2.14452335241791,-1.60550411172756,0.732824740421327
3,25,3,0.182099527373971,-2.61112623763163,-1.37635011226386,-3.36326113155583,-2.07715044932928,0.793392036259979
1,100,3,0.234566885026398,-2.61112623763163,-1.37635011226386,-1.15162162001422,-1.00246083669873,0.636405849388533
3,100,3,0.208431513271251,-2.61112623763163,-1.37635011226386,-1.8818875435746,-1.47145888705079,0.710352863570287
1,200,3,0.253290538967631,-2.61112623763163,-1.37635011226386,-0.843948392182755,-0.762911528039789,0.59151083092887
3,200,3,0.224462192287274,-2.61112623763163,-1.37635011226386,-1.37947407536313,-1.16420468483118,0.662386469300596
1,1,4,0.153338858012127,-3.4815016501755,-1.83513348301847,-6.49269020078648,-3.32125988185074,0.710009706707772
3,1,4,0.149405960420153,-3.4815016501755,-1.83513348301847,-7.1134237105286,-3.42319577422093,0.689574450024306
