"w","ps","gs","px"
0.192873072100285,-2.13386769020273,47.1039382425298,-4.34864524659143
0.201459528780069,-1.76325231440676,54.9759917837407,-4.13261701856719
0.210045985459853,-1.46865598279728,61.6696255990482,-3.96684975218883
0.218632442139637,-1.23227351132175,67.3051383673128,-3.83774126294657
0.227218898819421,-1.0409512537065,72.0306049218694,-3.735836296143
0.235805355499206,-0.884854852851339,75.9903150207108,-3.65443866588287
0.24439181217899,-0.756549855138401,79.312698073232,-3.58872077049096
0.252978268858774,-0.650358168458131,82.1072296674737,-3.53514471822775
0.261564725538558,-0.561901641551786,84.4652119606573,-3.49108829511184
0.270151182218342,-0.48777438025107,86.4618738392302,-3.45457023265574
0.278737638898127,-0.425304800526554,88.158871177961,-3.4240780031823
0.287324095577911,-0.372381001206176,89.6066574297626,-3.39844802486182
0.295910552257695,-0.327321328347044,90.8465271074021,-3.37677569563891
0.304497008937479,-0.288777539339965,91.9123074980464,-3.35834580777696
0.313083465617264,-0.255661720102006,92.8317919490062,-3.34259131751136
0.321669922297048,-0.227090673204173,93.6278795686198,-3.32905809226114
0.330256378976832,-0.202343270769615,94.3195028546124,-3.31738045987414
0.338842835656616,-0.180827509095137,94.9223690211643,-3.30726187793666
0.3474292923364,-0.162054880878398,95.449548075931,-3.2984587120638
0.356015749016184,-0.145620308304427,95.9119601801425,-3.29077069421478
0.364602205695969,-0.131186332103087,96.3187728442544,-3.28403443386778
0.373188662375753,-0.118470579921801,96.6776886191088,-3.27811180956285
0.381775119055537,-0.107235777725351,96.9952118492353,-3.27288753355531
0.390361575735321,-0.0972817453163492,97.2768582322367,-3.26826580798115
0.398948032415106,-0.088438948932229,97.5273192955513,-3.26416643208931
0.40753448909489,-0.0805632825841154,97.7505856150911,-3.26051949879326
0.416120945774674,-0.0735318241880756,97.9500797965972,-3.25726731809659
0.424707402454458,-0.0672393689510953,98.1287312318727,-3.25435924600937
0.433293859134242,-0.0615955855159988,98.2890689519655,-3.25175349019797
0.441880315814027,-0.0565226734014542,98.4332704003563,-3.24941315432317
0.450466772493811,-0.0519534257645692,98.5632210844862,-3.24730666620688
0.459053229173595,-0.0478296212909214,98.6805571509898,-3.24540675134326
0.467639685853379,-0.0441006844397453,98.7867033495447,-3.24369003193234
