"ps","g1"
-5.44530515237029,-1.02568114067816
-5.39086790084658,-1.01389234359606
-5.33643064932288,-1.00189298060121
-5.28199339779918,-0.989697134266469
-5.22755614627547,-0.977318224145549
-5.17311889475177,-0.964768926001449
-5.11868164322807,-0.952061210476238
-5.06424439170437,-0.939206241572855
-5.00980714018066,-0.92621445073329
-4.95536988865696,-0.913095544129909
-4.90093263713326,-0.899858529301156
-4.84649538560955,-0.886511734538504
-4.79205813408585,-0.873062906496915
-4.73762088256215,-0.859519158883237
-4.68318363103845,-0.845887072314465
-4.62874637951474,-0.832172717916941
-4.57430912799104,-0.818381694765085
-4.51987187646734,-0.804519167402619
-4.46543462494363,-0.790589898351623
-4.41099737341993,-0.776598280824942
-4.35656012189623,-0.762548356586222
-4.30212287037253,-0.748443892586423
-4.24768561884882,-0.734288332969404
-4.19324836732512,-0.720084872285679
-4.13881111580142,-0.705836464831908
-4.08437386427771,-0.691545844643789
-4.02993661275401,-0.677215543802575
-3.97549936123031,-0.662847909176215
-3.92106210970661,-0.648445117488462
-3.8666248581829,-0.634009189925785
-3.8121876066592,-0.619542004335443
-3.7577503551355,-0.605045306923516
-3.70331310361179,-0.596011393592688
-3.64887585208809,-0.588802840177382
-3.59443860056439,-0.581229558902489
-3.54000134904069,-0.573326383394555
-3.48556409751698,-0.56512012188059
-3.43112684599328,-0.556631952616755
-3.37668959446958,-0.547879016806866
-3.32225234294587,-0.538875388652362
-3.26781509142217,-0.529632870243227
-3.21337783989847,-0.520161340412937
-3.15894058837477,-0.510469345120484
-3.10450333685106,-0.500564134610255
-3.05006608532736,-0.490452015953944
-2.99562883380366,-0.480138454798289
-2.94119158227995,-0.46962820510247
-2.88675433075625,-0.458925375594346
-2.83231707923255,-0.448033564267992
-2.77787982770885,-0.43695586950144
-2.72344257618514,-0.425695012665019
-2.66900532466144,-0.414253276292975
-2.61456807313774,-0.402632537595082
-2.56013082161403,-0.390834487335394
-2.50569357009033,-0.378860450637289
-2.45125631856663,-0.366711458526357
-2.39681906704293,-0.354388374660717
-2.34238181551922,-0.341891729966122
-2.28794456399552,-0.32922198782502
-2.23350731247182,-0.316379236568112
-2.17907006094811,-0.303363554849813
-2.12463280942441,-0.290174771086243
-2.07019555790071,-0.276812547221544
-2.01575830637701,-0.263276443544757
-1.9613210548533,-0.249565866021277
-1.9068838033296,-0.235680171238619
-1.8524465518059,-0.221618461053425
-1.79800930028219,-0.207379946398548
-1.74357204875849,-0.192963520812249
-1.68913479723479,-0.178368243225781
-1.63469754571109,-0.163592955651047
-1.58026029418738,-0.148636439980378
-1.52582304266368,-0.133497452108545
-1.47138579113998,-0.118174779029849
-1.41694853961627,-0.102667025246696
-1.36251128809257,-0.0869730180327634
-1.30807403656887,-0.0710912731181593
-1.25363678504517,-0.0550204329276845
-1.19919953352146,-0.0387592569146103
-1.14476228199776,-0.0223062920257726
-1.09032503047406,-0.00566028367358078
-1.03588777895035,0.0111802156387435
-0.981450527426651,0.0282164015521117
-0.927013275902948,0.045449523542562
-0.872576024379246,0.0628810067635537
-0.818138772855542,0.0805118762222649
-0.76370152133184,0.0983432727745676
-0.709264269808137,0.116376481466858
-0.654827018284434,0.134612422403911
-0.600389766760731,0.153052102694618
-0.545952515237028,0.17169658730627
-0.491515263713326,0.190546597738701
-0.437078012189622,0.20960301329767
-0.38264076066592,0.228866651249326
-0.328203509142217,0.248338112297972
-0.273766257618514,0.268017972256832
-0.219329006094811,0.287906783914018
-0.164891754571109,0.308005036756247
-0.110454503047405,0.328313093695
-0.056017251523703,0.348831168927626
-0.00158,0.369559543483623
