"px","PLC"
-10,99.8037069240848
-9.9,99.7689066180228
-9.8,99.7286652051257
-9.7,99.6822639691969
-9.6,99.6289110625398
-9.5,99.567737348619
-9.4,99.4977924838009
-9.3,99.4180413214194
-9.2,99.3273607271215
-9.1,99.2245368992754
-9,99.1082632919371
-8.9,98.9771392403034
-8.8,98.8296693894997
-8.7,98.6642640268128
-8.6,98.479240414893
-8.5,98.2728252188986
-8.4,98.0431581139269
-8.3,97.7882966502965
-8.2,97.5062224432976
-8.1,97.1948487409181
-8,96.8520294078592
-7.9,96.4755693469835
-7.8,96.0632363603695
-7.7,95.6127744315958
-7.6,95.1219183890194
-7.5,94.5884098869636
-7.4,94.0100146182572
-7.3,93.3845406478628
-7.2,92.7098577338295
-7.1,91.9839174789482
-7,91.2047741347487
-6.9,90.3706058593072
-6.8,89.4797362121895
-6.7,88.5306556541852
-6.6,87.9766798902504
-6.5,87.4420510948538
-6.4,86.8766581675519
-6.3,86.2801833094585
-6.2,85.6524415377596
-6.1,84.993388772636
-6,84.3031290336957
-5.9,83.5819206302278
-5.8,82.8301812385956
-5.7,82.048491770969
-5.6,81.237598952207
-5.5,80.3984165358693
-5.4,79.5320251058321
-5.3,78.639670426594
-5.2,77.7227603227838
-5.1,76.7828600863746
-5,75.8216864283421
-4.9,74.8411000097013
-4.8,73.8430966046913
-4.7,72.8297969660777
-4.6,71.8034354787999
-4.5,70.7663477032631
-4.4,69.7209569232
-4.3,68.6697598250022
-4.2,67.6153114455599
-4.1,66.5602095338009
-4,65.5070784771749
-3.9,64.4585529482231
-3.8,63.4172614280554
-3.7,62.3858097630528
-3.6,61.3667649084537
-3.5,60.3626390077421
-3.4,59.3758739500631
-3.3,58.4088265393615
-3.2,57.4637543987574
-3.1,56.5428027220127
-3,55.6479919710033
-2.9,54.7812066041113
-2.8,53.9441849055939
-2.7,53.1385099704902
-2.6,52.3656018836966
-2.5,51.6267111156686
-2.4,50.9229131409615
-2.3,50.255104269649
-2.2,49.6239986656719
-2.1,49.0301265104214
-2,48.4738332543735
-1.9,47.955279884286
-1.8,47.4744441181913
-1.7,47.0311224248772
-1.6,46.6249327482745
-1.5,46.2553177994499
-1.4,45.9215487586324
-1.3,45.6227292052295
-1.2,45.3577990625239
-1.1,45.1255383016327
-1,44.9245700897379
-0.9,44.7533629794293
-0.799999999999999,44.6102315996417
-0.699999999999999,44.4933350879018
-0.6,44.400672127191
-0.5,44.3300707678189
-0.399999999999999,44.2791698739468
-0.299999999999999,44.2453861087659
-0.199999999999999,44.2258529440399
-0.0999999999999996,44.2172941056979
0,44.2156584869143
